id,title,genre,vote_average,vote_count,runtime,release_date,revenue,popularity
19995,Avatar,Action,7.2,11800,162,2009-12-10,2787965087,150.437577
285,Pirates of the Caribbean: At World's End,Adventure,6.9,4500,169,2007-05-19,961000000,139.082615
206647,Spectre,Action,6.3,4466,148,2015-10-26,880674609,107.376788
49026,The Dark Knight Rises,Action,7.6,9106,165,2012-07-16,1084939099,112.31295
49529,John Carter,Action,6.1,2124,132,2012-03-07,284139100,43.926995
559,Spider-Man 3,Fantasy,5.9,3576,139,2007-05-01,890871626,115.699814
38757,Tangled,Animation,7.4,3330,100,2010-11-24,591794936,48.681969
99861,Avengers: Age of Ultron,Action,7.3,6767,141,2015-04-22,1405403694,134.279229
767,Harry Potter and the Half-Blood Prince,Adventure,7.4,5293,153,2009-07-07,933959197,98.885637
209112,Batman v Superman: Dawn of Justice,Action,5.7,7004,151,2016-03-23,873260194,155.790452
1452,Superman Returns,Adventure,5.4,1400,154,2006-06-28,391081192,57.925623
10764,Quantum of Solace,Adventure,6.1,2965,106,2008-10-30,586090727,107.928811
58,Pirates of the Caribbean: Dead Man's Chest,Adventure,7,5246,151,2006-06-20,1065659812,145.847379
57201,The Lone Ranger,Action,5.9,2311,149,2013-07-03,89289910,49.046956
49521,Man of Steel,Action,6.5,6359,143,2013-06-12,662845518,99.398009
2454,The Chronicles of Narnia: Prince Caspian,Adventure,6.3,1630,150,2008-05-15,419651413,53.978602
24428,The Avengers,Science Fiction,7.4,11776,143,2012-04-25,1519557910,144.448633
1865,Pirates of the Caribbean: On Stranger Tides,Adventure,6.4,4948,136,2011-05-14,1045713802,135.413856
41154,Men in Black 3,Action,6.2,4160,106,2012-05-23,624026776,52.035179
122917,The Hobbit: The Battle of the Five Armies,Action,7.1,4760,144,2014-12-10,956019788,120.965743
1930,The Amazing Spider-Man,Action,6.5,6586,136,2012-06-27,752215857,89.866276
20662,Robin Hood,Action,6.2,1398,140,2010-05-12,310669540,37.668301
57158,The Hobbit: The Desolation of Smaug,Adventure,7.6,4524,161,2013-12-11,958400000,94.370564
2268,The Golden Compass,Adventure,5.8,1303,113,2007-12-04,372234864,42.990906
254,King Kong,Adventure,6.6,2337,187,2005-12-14,550000000,61.22601
597,Titanic,Drama,7.5,7562,194,1997-11-18,1845034188,100.025899
271110,Captain America: Civil War,Adventure,7.1,7241,147,2016-04-27,1153304495,198.372395
44833,Battleship,Thriller,5.5,2114,131,2012-04-11,303025485,64.928382
135397,Jurassic World,Action,6.5,8662,124,2015-06-09,1513528810,418.708552
37724,Skyfall,Action,6.9,7604,143,2012-10-25,1108561013,93.004993
558,Spider-Man 2,Action,6.7,4321,127,2004-06-25,783766341,35.149586
68721,Iron Man 3,Action,6.8,8806,130,2013-04-18,1215439994,77.68208
12155,Alice in Wonderland,Family,6.4,4645,108,2010-03-03,1025491110,78.530105
36668,X-Men: The Last Stand,Adventure,6.3,3525,104,2006-05-24,459359555,3.857526
62211,Monsters University,Animation,7,3528,104,2013-06-20,743559607,89.186492
8373,Transformers: Revenge of the Fallen,Science Fiction,6,3138,150,2009-06-19,836297228,21.939663
91314,Transformers: Age of Extinction,Science Fiction,5.8,3095,165,2014-06-25,1091405097,116.840296
68728,Oz: The Great and Powerful,Fantasy,5.7,3530,130,2013-03-07,491868548,46.985445
102382,The Amazing Spider-Man 2,Action,6.5,4179,142,2014-04-16,705717432,89.270217
20526,TRON: Legacy,Adventure,6.3,2841,125,2010-12-10,400062763,73.79505
49013,Cars 2,Animation,5.8,2033,106,2011-06-11,559852396,49.98659
44912,Green Lantern,Adventure,5.1,2487,114,2011-06-16,219851172,51.872839
10193,Toy Story 3,Animation,7.6,4597,103,2010-06-16,1066969703,59.995418
534,Terminator Salvation,Action,5.9,2463,115,2009-05-20,371353001,71.862892
168259,Furious 7,Action,7.3,4176,137,2015-04-01,1506249360,102.322217
72190,World War Z,Action,6.7,5560,116,2013-06-20,531865000,81.834855
127585,X-Men: Days of Future Past,Action,7.5,6032,131,2014-05-15,747862775,118.078691
54138,Star Trek Into Darkness,Action,7.4,4418,132,2013-05-05,467365246,78.291018
81005,Jack the Giant Slayer,Action,5.5,2598,114,2013-02-27,197687603,43.349855
64682,The Great Gatsby,Drama,7.3,3769,143,2013-05-10,351040419,61.196071
9543,Prince of Persia: The Sands of Time,Adventure,6.2,2317,116,2010-05-19,335154643,62.169881
68726,Pacific Rim,Action,6.7,4794,131,2013-07-11,407602906,56.523205
38356,Transformers: Dark of the Moon,Action,6.1,3299,154,2011-06-28,1123746996,28.529607
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,5.7,2495,122,2008-05-21,786636033,75.674458
105864,The Good Dinosaur,Adventure,6.6,1736,93,2015-11-14,331926147,51.692953
62177,Brave,Animation,6.7,4641,93,2012-06-21,538983207,125.114374
188927,Star Trek Beyond,Action,6.6,2568,122,2016-07-07,343471816,65.352913
10681,WALL·E,Animation,7.8,6296,98,2008-06-22,521311860,66.390712
5174,Rush Hour 3,Action,6.1,783,91,2007-08-08,258022233,22.57178
14161,2012,Action,5.6,4903,158,2009-10-10,769653595,45.274225
17979,A Christmas Carol,Animation,6.6,1095,96,2009-11-04,325233863,39.744242
76757,Jupiter Ascending,Science Fiction,5.2,2768,124,2015-02-04,183987723,85.36908
258489,The Legend of Tarzan,Action,5.5,2430,109,2016-06-29,356743061,42.741719
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,6.7,2629,143,2005-12-07,748806957,67.391328
246655,X-Men: Apocalypse,Science Fiction,6.4,4721,144,2016-05-18,543934787,139.272042
155,The Dark Knight,Drama,8.2,12002,152,2008-07-16,1004558444,187.322927
14160,Up,Animation,7.7,6870,96,2009-05-13,735099082,92.201962
15512,Monsters vs Aliens,Animation,6,1423,94,2009-03-19,381509870,36.167578
1726,Iron Man,Action,7.4,8776,126,2008-04-30,585174222,120.725053
44826,Hugo,Adventure,7,2141,126,2011-11-22,185770160,32.319043
8487,Wild Wild West,Action,5.1,1020,106,1999-06-29,222104681,40.748915
1735,The Mummy: Tomb of the Dragon Emperor,Adventure,5.2,1387,112,2008-07-01,401128639,60.034162
297761,Suicide Squad,Action,5.9,7458,123,2016-08-02,745000000,90.23792
2698,Evan Almighty,Fantasy,5.3,1151,96,2007-06-09,173000000,27.082182
137113,Edge of Tomorrow,Action,7.6,4858,113,2014-05-27,370541256,79.456485
9804,Waterworld,Adventure,5.9,992,135,1995-07-28,264218220,44.640292
14869,G.I. Joe: The Rise of Cobra,Adventure,5.6,1962,118,2009-08-04,302469017,32.852443
